iter	Passed	Remaining
0	151	151641
1	152	76115
2	153	50884
3	153	38263
4	154	30692
5	154	25644
6	155	22036
7	155	19330
8	156	17226
9	157	15547
10	157	14175
11	158	13034
12	158	12069
13	159	11257
14	160	10538
15	161	9907
16	161	9357
17	162	8863
18	163	8417
19	163	8018
20	164	7655
21	164	7323
22	165	7020
23	165	6740
24	166	6483
25	166	6251
26	167	6034
27	168	5832
28	168	5643
29	169	5468
30	169	5302
31	170	5146
32	170	5001
33	171	4863
34	171	4733
35	172	4610
36	172	4494
37	173	4383
38	173	4279
39	174	4181
40	174	4088
41	175	3998
42	175	3913
43	176	3830
44	176	3752
45	177	3677
46	177	3605
47	178	3536
48	178	3470
49	179	3407
50	179	3346
51	180	3287
52	180	3230
53	181	3176
54	181	3125
55	182	3075
56	182	3026
57	183	2978
58	183	2933
59	184	2888
60	184	2845
61	185	2804
62	185	2764
63	186	2724
64	186	2686
65	187	2649
66	187	2613
67	188	2578
68	188	2545
69	189	2514
70	189	2483
71	190	2452
72	190	2422
73	191	2392
74	191	2364
75	192	2336
76	192	2309
77	193	2282
78	193	2256
79	194	2231
80	194	2206
81	194	2182
82	195	2156
83	195	2134
84	196	2111
85	196	2091
86	197	2069
87	197	2048
88	198	2028
89	198	2008
90	199	1989
91	199	1970
92	200	1951
93	200	1933
94	201	1915
95	201	1897
96	201	1880
97	202	1863
98	202	1846
99	203	1830
100	204	1816
101	204	1800
102	205	1785
103	205	1770
104	205	1755
105	206	1740
106	206	1726
107	207	1712
108	207	1698
109	208	1685
110	208	1671
111	209	1658
112	209	1645
113	210	1633
114	210	1620
115	211	1609
116	211	1596
117	212	1585
118	212	1573
119	213	1562
120	213	1550
121	213	1539
122	214	1528
123	214	1517
124	215	1507
125	215	1496
126	216	1485
127	216	1475
128	217	1466
129	217	1456
130	218	1446
131	218	1437
132	219	1428
133	219	1419
134	220	1410
135	220	1401
136	221	1393
137	221	1384
138	222	1375
139	222	1367
140	223	1359
141	223	1349
142	223	1341
143	224	1333
144	224	1325
145	225	1317
146	225	1310
147	226	1303
148	226	1295
149	227	1288
150	227	1281
151	228	1273
152	228	1266
153	229	1259
154	229	1252
155	230	1245
156	230	1238
157	231	1231
158	231	1225
159	232	1218
160	232	1211
161	232	1204
162	233	1198
163	233	1192
164	234	1186
165	234	1179
166	235	1173
167	235	1167
168	236	1161
169	236	1155
170	237	1149
171	237	1143
172	238	1138
173	238	1132
174	239	1126
175	239	1121
176	239	1115
177	240	1110
178	241	1105
179	241	1100
180	242	1095
181	242	1089
182	242	1084
183	243	1079
184	243	1074
185	244	1069
186	244	1064
187	245	1059
188	245	1054
189	246	1049
190	246	1044
191	247	1040
192	247	1035
193	248	1031
194	248	1026
195	249	1022
196	249	1017
197	250	1012
198	250	1008
199	251	1004
200	251	999
201	251	995
202	252	991
203	252	986
204	253	982
205	253	978
206	254	974
207	254	970
208	255	966
209	255	962
210	256	958
211	256	954
212	257	950
213	257	946
214	258	942
215	258	939
216	259	935
217	259	931
218	260	927
219	260	923
220	261	920
221	261	916
222	262	912
223	262	909
224	263	906
225	263	902
226	264	899
227	264	895
228	264	892
229	265	888
230	265	885
231	266	881
232	266	878
233	267	874
234	267	871
235	268	868
236	268	865
237	269	861
238	269	858
239	270	855
240	270	852
241	271	849
242	271	846
243	272	843
244	272	840
245	273	836
246	273	833
247	273	830
248	274	827
249	274	824
250	275	821
251	275	818
252	276	815
253	276	812
254	277	809
255	277	807
256	278	804
257	278	801
258	279	798
259	279	795
260	280	793
261	280	790
262	281	787
263	281	784
264	281	782
265	282	779
266	282	776
267	283	773
268	283	771
269	284	768
270	284	766
271	285	763
272	285	761
273	286	758
274	286	755
275	287	753
276	287	750
277	288	748
